event_id,session_id,customer_id,event_type,event_time,device,variant
1,1,85,visit,2025-01-01 18:47:50,desktop,
2,1,85,view_product,2025-01-01 18:53:02,desktop,
3,1,85,add_to_cart,2025-01-01 18:58:01,desktop,
4,1,85,checkout,2025-01-01 19:06:35,desktop,
5,2,,visit,2025-01-01 02:10:46,mobile,
6,2,,view_product,2025-01-01 02:17:52,mobile,
7,3,187,visit,2025-01-01 02:06:39,mobile,
8,4,1061,visit,2025-01-01 19:03:43,desktop,
9,5,,visit,2025-01-01 20:42:00,desktop,
10,5,,view_product,2025-01-01 20:45:33,desktop,
11,6,993,visit,2025-01-01 21:24:25,mobile,
12,7,221,visit,2025-01-01 14:12:31,mobile,
13,8,,visit,2025-01-01 09:19:26,mobile,
14,9,200,visit,2025-01-01 12:56:03,mobile,
15,9,200,view_product,2025-01-01 13:02:08,mobile,
16,9,200,add_to_cart,2025-01-01 13:10:28,mobile,
17,9,200,checkout,2025-01-01 13:18:03,mobile,
18,9,200,purchase,2025-01-01 13:25:53,mobile,
19,10,1509,visit,2025-01-01 08:21:18,mobile,
20,10,1509,view_product,2025-01-01 08:28:46,mobile,
21,11,524,visit,2025-01-01 16:48:27,mobile,
22,11,524,view_product,2025-01-01 16:56:50,mobile,
23,12,887,visit,2025-01-01 14:04:13,mobile,
24,13,,visit,2025-01-01 12:45:52,mobile,
25,14,,visit,2025-01-01 02:55:38,desktop,
26,14,,view_product,2025-01-01 03:02:09,desktop,
27,15,,visit,2025-01-01 14:02:31,mobile,
28,16,,visit,2025-01-01 02:48:10,mobile,
29,17,,visit,2025-01-01 00:53:46,mobile,
30,17,,view_product,2025-01-01 00:55:23,mobile,
31,18,1016,visit,2025-01-01 10:55:35,mobile,
32,18,1016,view_product,2025-01-01 11:00:30,mobile,
33,19,,visit,2025-01-01 12:47:14,mobile,
34,19,,view_product,2025-01-01 12:48:52,mobile,
35,20,,visit,2025-01-01 10:23:10,mobile,
36,20,,view_product,2025-01-01 10:25:02,mobile,
37,21,,visit,2025-01-01 22:50:28,mobile,
38,22,1526,visit,2025-01-01 18:54:35,desktop,
39,23,,visit,2025-01-01 18:10:18,mobile,
40,23,,view_product,2025-01-01 18:19:02,mobile,
41,24,,visit,2025-01-01 21:17:38,mobile,
42,25,,visit,2025-01-01 19:27:52,mobile,
43,25,,view_product,2025-01-01 19:28:10,mobile,
44,25,,add_to_cart,2025-01-01 19:32:04,mobile,
45,25,,checkout,2025-01-01 19:38:14,mobile,
46,25,,purchase,2025-01-01 19:45:55,mobile,
47,26,881,visit,2025-01-01 19:47:24,mobile,
48,26,881,view_product,2025-01-01 19:53:59,mobile,
49,26,881,add_to_cart,2025-01-01 19:57:30,mobile,
50,26,881,checkout,2025-01-01 20:05:10,mobile,
51,26,881,purchase,2025-01-01 20:08:03,mobile,
52,27,,visit,2025-01-01 10:05:45,mobile,
53,27,,view_product,2025-01-01 10:06:38,mobile,
54,27,,add_to_cart,2025-01-01 10:13:38,mobile,
