customer_id,city,channel,signup_month,days_to_first_order,first_payment_method,first_status,first_discount_pct,first_n_items,first_has_electronics,first_order_value,days_since_first_order,repeated
1,Phuket,ads,1,5,cod,completed,0,1,0,438,725,0
2,Udon Thani,ads,1,5,credit_card,completed,0,1,0,1698,725,1
3,Bangkok,organic,1,11,credit_card,completed,0,1,1,16419,719,1
4,Chiang Mai,organic,1,14,credit_card,completed,0,1,0,1849,715,1
5,Khon Kaen,organic,1,10,bank_transfer,completed,0,1,0,2229,719,1
6,Bangkok,referral,1,12,cod,completed,0,1,0,1869,716,0
7,Udon Thani,ads,1,12,credit_card,completed,10,1,0,1949,716,0
8,Bangkok,ads,1,0,credit_card,completed,0,2,0,2245,728,0
9,Chon Buri,ads,1,11,promptpay,completed,10,1,0,498,717,0
10,Bangkok,organic,1,12,promptpay,completed,0,1,0,2639,715,0
11,Hat Yai,ads,1,0,credit_card,completed,5,1,0,429,727,0
12,Chiang Mai,ads,1,3,credit_card,completed,10,1,0,999,724,0
13,Bangkok,organic,1,10,credit_card,completed,0,1,1,20069,717,1
14,Chon Buri,referral,1,3,credit_card,returned,10,2,1,3598,723,0
15,Hat Yai,ads,1,11,credit_card,completed,0,1,0,559,715,1
16,Bangkok,organic,1,1,promptpay,completed,15,3,1,13532,725,1
17,Chiang Mai,organic,1,13,promptpay,completed,20,4,0,7744,712,1
20,Bangkok,organic,1,9,credit_card,completed,10,3,1,25125,715,1
21,Bangkok,organic,1,0,credit_card,completed,0,2,0,4158,724,0
22,Bangkok,ads,1,0,credit_card,completed,5,2,0,2268,724,1
23,Bangkok,ads,1,4,credit_card,completed,0,2,0,4355,720,1
24,Bangkok,organic,1,13,cod,completed,0,3,0,8226,711,1
25,Khon Kaen,organic,1,11,credit_card,completed,0,4,1,34356,712,0
26,Udon Thani,organic,1,0,credit_card,completed,0,2,0,987,723,1
27,Nakhon Ratchasima,organic,1,2,promptpay,cancelled,5,3,1,11325,721,1
28,Chiang Mai,organic,1,5,promptpay,completed,10,2,0,4558,718,1
29,Bangkok,organic,1,13,promptpay,completed,0,1,0,219,709,1
30,Phuket,organic,1,9,credit_card,completed,0,3,1,24907,713,0
31,Bangkok,organic,1,4,cod,completed,0,2,1,7687,718,1
32,Bangkok,organic,1,7,credit_card,completed,5,3,0,1507,714,1
33,Bangkok,organic,1,5,cod,completed,0,1,0,889,716,0
34,Khon Kaen,ads,1,3,promptpay,completed,0,1,1,7418,718,0
35,Bangkok,organic,1,12,promptpay,completed,0,2,0,1518,709,1
36,Chon Buri,ads,1,13,cod,returned,10,1,0,2639,708,1
37,Nakhon Ratchasima,ads,1,0,credit_card,cancelled,0,2,1,3268,721,1
38,Udon Thani,ads,1,6,cod,completed,0,3,0,3376,714,1
40,Bangkok,organic,1,6,credit_card,completed,0,1,0,1758,713,0
41,Bangkok,ads,1,8,cod,completed,0,1,0,219,711,0
42,Udon Thani,referral,1,1,promptpay,completed,0,1,0,639,718,0
43,Bangkok,ads,1,0,promptpay,completed,5,1,0,919,719,1
44,Nakhon Ratchasima,ads,1,9,promptpay,completed,0,2,0,1298,710,1
45,Chiang Mai,referral,1,10,promptpay,returned,10,1,0,859,709,0
46,Bangkok,organic,1,12,cod,completed,5,2,0,4248,707,0
47,Bangkok,organic,1,1,credit_card,completed,20,1,0,858,717,0
49,Nakhon Ratchasima,ads,1,6,credit_card,completed,0,1,0,1079,712,1
50,Khon Kaen,organic,1,6,credit_card,completed,0,2,1,3078,712,1
52,Chon Buri,organic,1,3,credit_card,completed,0,2,0,1948,715,0
53,Hat Yai,organic,1,14,promptpay,completed,0,2,0,1157,703,1
55,Khon Kaen,organic,1,6,credit_card,cancelled,5,2,1,6398,711,0
56,Khon Kaen,organic,1,12,promptpay,completed,0,1,0,449,705,0
57,Bangkok,organic,1,9,cod,completed,5,1,1,3829,707,1
58,Bangkok,organic,1,0,cod,completed,0,1,1,1219,715,1
59,Chiang Mai,ads,1,9,credit_card,completed,5,1,0,1338,706,1
61,Bangkok,ads,1,8,promptpay,cancelled,5,1,0,1059,707,1
62,Bangkok,organic,1,4,promptpay,completed,5,2,1,2616,711,0
63,Bangkok,organic,1,8,credit_card,completed,0,1,1,13689,707,0
64,Bangkok,organic,1,0,promptpay,completed,10,1,0,779,715,0
65,Bangkok,organic,1,5,credit_card,completed,0,2,1,10908,709,1
67,Bangkok,organic,1,7,promptpay,completed,0,3,0,3265,707,0
68,Hat Yai,organic,1,13,promptpay,completed,0,2,1,4188,701,0
69,Hat Yai,referral,1,12,cod,completed,5,2,0,1118,701,0
70,Bangkok,ads,1,11,credit_card,completed,10,3,1,14163,702,0
71,Udon Thani,ads,1,14,promptpay,completed,15,1,1,949,698,1
72,Chon Buri,ads,1,10,credit_card,returned,0,2,1,11578,702,0
74,Nakhon Ratchasima,ads,1,3,credit_card,completed,0,1,0,769,709,0
75,Bangkok,organic,1,4,promptpay,completed,0,4,1,25235,708,1
76,Udon Thani,referral,1,10,promptpay,completed,0,3,0,3665,701,0
78,Bangkok,ads,1,12,promptpay,completed,0,3,1,36026,698,0
79,Bangkok,ads,1,8,credit_card,completed,0,1,0,219,702,0
80,Chon Buri,ads,1,9,credit_card,completed,0,1,0,4509,700,0
81,Chon Buri,organic,1,6,bank_transfer,completed,0,2,0,4278,703,1
82,Chiang Mai,ads,1,1,cod,completed,0,1,1,3829,707,0
83,Bangkok,organic,1,2,promptpay,completed,0,1,0,409,706,1
85,Chiang Mai,organic,1,10,credit_card,cancelled,10,2,1,11068,698,1
87,Chon Buri,organic,1,5,cod,completed,0,2,1,4457,702,0
88,Chiang Mai,organic,1,11,promptpay,completed,0,2,0,4648,695,1
89,Hat Yai,referral,1,11,promptpay,completed,10,1,0,658,695,1
90,Bangkok,organic,1,14,credit_card,completed,10,1,0,639,691,0
92,Khon Kaen,ads,1,12,credit_card,returned,0,1,0,659,693,1
93,Chon Buri,organic,1,2,credit_card,cancelled,0,1,0,1718,703,1
94,Bangkok,organic,1,9,promptpay,completed,10,1,0,1069,696,1
95,Udon Thani,ads,1,12,bank_transfer,completed,0,1,0,818,693,1
96,Chiang Mai,organic,1,14,promptpay,completed,0,1,0,919,691,1
97,Khon Kaen,referral,1,5,promptpay,completed,0,4,0,14884,698,0
98,Bangkok,organic,1,3,credit_card,completed,0,1,1,18417,700,0
99,Udon Thani,referral,1,11,promptpay,completed,5,2,0,3767,691,1
100,Bangkok,ads,1,5,credit_card,completed,0,2,0,9747,697,1
101,Chon Buri,organic,1,4,promptpay,completed,20,1,1,7918,698,1
102,Udon Thani,organic,1,9,promptpay,returned,0,1,0,998,693,1
103,Chiang Mai,organic,1,9,credit_card,completed,0,3,1,4677,693,1
104,Chiang Mai,organic,1,4,credit_card,completed,0,2,0,5076,697,0
105,Nakhon Ratchasima,ads,1,7,credit_card,completed,15,1,0,3799,694,1
106,Hat Yai,ads,1,9,promptpay,completed,0,1,0,2029,692,0
107,Chon Buri,ads,1,13,promptpay,completed,0,1,0,259,688,0
