order_id,customer_id,order_date,status,discount_pct,payment_method
1,8,2024-01-03,completed,,credit_card
2,11,2024-01-04,completed,5,credit_card
3,1,2024-01-06,completed,,cod
4,2,2024-01-06,completed,,credit_card
5,16,2024-01-06,completed,15,promptpay
6,12,2024-01-07,completed,10,credit_card
7,21,2024-01-07,completed,,credit_card
8,22,2024-01-07,completed,5,credit_card
9,14,2024-01-08,returned,10,credit_card
10,26,2024-01-08,completed,,credit_card
11,27,2024-01-10,cancelled,5,promptpay
12,37,2024-01-10,cancelled,,credit_card
13,23,2024-01-11,completed,,credit_card
14,3,2024-01-12,completed,,credit_card
15,5,2024-01-12,completed,,bank_transfer
16,43,2024-01-12,completed,5,promptpay
17,28,2024-01-13,completed,10,promptpay
18,31,2024-01-13,completed,,cod
19,34,2024-01-13,completed,,promptpay
20,42,2024-01-13,completed,,promptpay
21,9,2024-01-14,completed,10,promptpay
22,13,2024-01-14,completed,,credit_card
23,23,2024-01-14,completed,,cod
24,47,2024-01-14,completed,20,credit_card
25,2,2024-01-15,completed,15,credit_card
26,6,2024-01-15,completed,,cod
27,7,2024-01-15,completed,10,credit_card
28,33,2024-01-15,completed,,cod
29,4,2024-01-16,completed,,credit_card
30,10,2024-01-16,completed,,promptpay
31,15,2024-01-16,completed,,credit_card
32,20,2024-01-16,completed,10,credit_card
33,52,2024-01-16,completed,,credit_card
34,58,2024-01-16,completed,,cod
35,64,2024-01-16,completed,10,promptpay
36,32,2024-01-17,completed,5,credit_card
37,38,2024-01-17,completed,,cod
38,30,2024-01-18,completed,,credit_card
39,40,2024-01-18,completed,,credit_card
40,17,2024-01-19,completed,20,promptpay
41,25,2024-01-19,completed,,credit_card
42,49,2024-01-19,completed,,credit_card
43,50,2024-01-19,completed,,credit_card
44,17,2024-01-20,completed,,bank_transfer
45,24,2024-01-20,completed,,cod
46,32,2024-01-20,completed,,promptpay
47,41,2024-01-20,completed,,cod
48,55,2024-01-20,cancelled,5,credit_card
49,62,2024-01-20,completed,5,promptpay
50,22,2024-01-21,completed,10,credit_card
51,44,2024-01-21,completed,,promptpay
52,4,2024-01-22,completed,,promptpay
53,29,2024-01-22,completed,,promptpay
54,35,2024-01-22,completed,,promptpay
55,45,2024-01-22,returned,10,promptpay
56,65,2024-01-22,completed,,credit_card
57,74,2024-01-22,completed,,credit_card
58,36,2024-01-23,returned,10,cod
59,75,2024-01-23,completed,,promptpay
60,46,2024-01-24,completed,5,cod
61,57,2024-01-24,completed,5,cod
62,61,2024-01-24,cancelled,5,promptpay
63,63,2024-01-24,completed,,credit_card
64,67,2024-01-24,completed,,promptpay
65,82,2024-01-24,completed,,cod
66,5,2024-01-25,cancelled,,promptpay
67,44,2024-01-25,completed,15,promptpay
68,59,2024-01-25,completed,5,credit_card
69,83,2024-01-25,completed,,promptpay
70,44,2024-01-26,completed,10,cod
71,56,2024-01-26,completed,,promptpay
72,53,2024-01-28,completed,,promptpay
73,81,2024-01-28,completed,,bank_transfer
74,93,2024-01-28,cancelled,,credit_card
75,70,2024-01-29,completed,10,credit_card
76,72,2024-01-29,returned,,credit_card
77,79,2024-01-29,completed,,credit_card
78,87,2024-01-29,completed,,cod
79,68,2024-01-30,completed,,promptpay
80,69,2024-01-30,completed,5,cod
81,76,2024-01-30,completed,,promptpay
82,3,2024-01-31,completed,,promptpay
83,80,2024-01-31,completed,,credit_card
84,98,2024-01-31,completed,,credit_card
85,57,2024-02-02,completed,,promptpay
86,71,2024-02-02,completed,15,promptpay
87,78,2024-02-02,completed,,promptpay
88,85,2024-02-02,cancelled,10,credit_card
89,97,2024-02-02,completed,,promptpay
90,101,2024-02-02,completed,20,promptpay
91,111,2024-02-02,completed,,promptpay
92,113,2024-02-02,completed,,promptpay
93,100,2024-02-03,completed,,credit_card
94,104,2024-02-03,completed,,credit_card
95,94,2024-02-04,completed,10,promptpay
96,20,2024-02-05,completed,,bank_transfer
97,53,2024-02-05,completed,,credit_card
98,88,2024-02-05,completed,,promptpay
99,89,2024-02-05,completed,10,promptpay
100,113,2024-02-05,completed,10,cod
101,105,2024-02-06,completed,15,credit_card
102,122,2024-02-06,completed,,promptpay
103,128,2024-02-06,completed,,promptpay
104,132,2024-02-06,completed,,promptpay
105,13,2024-02-07,completed,,promptpay
106,38,2024-02-07,completed,5,credit_card
107,92,2024-02-07,returned,,credit_card
108,95,2024-02-07,completed,,bank_transfer
109,102,2024-02-07,returned,,promptpay
110,103,2024-02-07,completed,,credit_card
111,117,2024-02-07,completed,,credit_card
112,123,2024-02-07,completed,,credit_card
113,131,2024-02-07,completed,,bank_transfer
114,134,2024-02-07,completed,20,promptpay
115,106,2024-02-08,completed,,promptpay
116,110,2024-02-08,completed,,cod
117,112,2024-02-08,completed,,promptpay
118,127,2024-02-08,completed,5,credit_card
119,90,2024-02-09,completed,10,credit_card
120,96,2024-02-09,completed,,promptpay
121,99,2024-02-09,completed,5,promptpay
122,108,2024-02-09,completed,,credit_card
123,114,2024-02-09,completed,15,promptpay
124,142,2024-02-09,completed,,promptpay
125,29,2024-02-10,completed,,credit_card
126,121,2024-02-10,completed,,credit_card
127,133,2024-02-10,cancelled,,promptpay
128,142,2024-02-10,completed,15,promptpay
129,145,2024-02-10,cancelled,5,promptpay
130,13,2024-02-11,completed,,promptpay
131,24,2024-02-11,completed,,promptpay
132,61,2024-02-11,cancelled,15,promptpay
133,89,2024-02-11,completed,,promptpay
134,118,2024-02-11,completed,,promptpay
135,126,2024-02-11,completed,,credit_card
136,107,2024-02-12,completed,,promptpay
137,109,2024-02-12,returned,,credit_card
138,115,2024-02-12,completed,10,promptpay
139,118,2024-02-12,completed,15,cod
140,122,2024-02-12,completed,,credit_card
141,124,2024-02-12,completed,,credit_card
142,135,2024-02-12,completed,15,credit_card
143,144,2024-02-12,completed,,credit_card
144,125,2024-02-13,cancelled,5,bank_transfer
145,149,2024-02-13,completed,,promptpay
146,157,2024-02-13,completed,,credit_card
147,53,2024-02-14,completed,,cod
148,146,2024-02-14,completed,5,cod
149,148,2024-02-14,completed,10,promptpay
150,153,2024-02-14,completed,,credit_card
151,114,2024-02-15,completed,5,promptpay
152,116,2024-02-15,completed,,credit_card
153,119,2024-02-15,returned,10,credit_card
154,147,2024-02-15,completed,,credit_card
155,151,2024-02-15,completed,,credit_card
156,170,2024-02-15,completed,,promptpay
157,89,2024-02-16,completed,,credit_card
158,129,2024-02-16,completed,5,promptpay
159,130,2024-02-16,completed,,cod
160,158,2024-02-16,completed,,promptpay
161,161,2024-02-16,completed,,credit_card
162,167,2024-02-16,completed,,bank_transfer
163,94,2024-02-17,completed,,promptpay
164,116,2024-02-17,completed,10,credit_card
165,121,2024-02-17,completed,,promptpay
