product_id,product_name,category,price,cost
1,Electronics Item 01,Electronics,3829,3016.69
2,Electronics Item 02,Electronics,1219,1026.79
3,Electronics Item 03,Electronics,6139,4769.2
4,Electronics Item 04,Electronics,9779,7934.25
5,Electronics Item 05,Electronics,16419,12774.9
6,Electronics Item 06,Electronics,599,486.92
7,Electronics Item 07,Electronics,3279,2619.88
8,Electronics Item 08,Electronics,659,511.34
9,Electronics Item 09,Electronics,11269,9478.15
10,Electronics Item 10,Electronics,13239,10906.03
11,Electronics Item 11,Electronics,3959,3388.28
12,Electronics Item 12,Electronics,18439,15546.43
13,Electronics Item 13,Electronics,2419,1777.25
14,Electronics Item 14,Electronics,1959,1588.47
15,Electronics Item 15,Electronics,4069,3120.68
16,Electronics Item 16,Electronics,2829,2345.02
17,Electronics Item 17,Electronics,949,722.61
18,Electronics Item 18,Electronics,10659,8582.96
19,Electronics Item 19,Electronics,579,430.48
20,Electronics Item 20,Electronics,20069,15962.11
21,Electronics Item 21,Electronics,1179,935.95
22,Electronics Item 22,Electronics,13689,11649.71
23,Electronics Item 23,Electronics,11319,9463.93
24,Electronics Item 24,Electronics,3709,2899.69
25,Electronics Item 25,Electronics,1279,962.09
26,Home Item 01,Home,4509,2513.74
27,Home Item 02,Home,1069,696.45
28,Home Item 03,Home,1269,832.91
29,Home Item 04,Home,1079,585.39
30,Home Item 05,Home,299,187.02
31,Home Item 06,Home,559,338.53
32,Home Item 07,Home,1029,657.73
33,Home Item 08,Home,849,542.6
34,Home Item 09,Home,349,205.83
35,Home Item 10,Home,1069,681.35
36,Home Item 11,Home,3429,1903.49
37,Home Item 12,Home,1449,946.75
38,Home Item 13,Home,339,201.07
39,Home Item 14,Home,409,240.67
40,Home Item 15,Home,549,335.89
41,Home Item 16,Home,1269,705.65
42,Home Item 17,Home,1139,659.95
43,Home Item 18,Home,209,125.23
44,Home Item 19,Home,4769,3129.54
45,Home Item 20,Home,1869,1096.78
46,Home Item 21,Home,189,111.76
47,Home Item 22,Home,2899,1689.37
48,Home Item 23,Home,509,288.94
49,Home Item 24,Home,1609,895.86
50,Home Item 25,Home,2799,1719.95
51,Beauty Item 01,Beauty,779,378.68
52,Beauty Item 02,Beauty,329,148.04
53,Beauty Item 03,Beauty,319,132.88
54,Beauty Item 04,Beauty,199,84.15
55,Beauty Item 05,Beauty,1309,636.6
56,Beauty Item 06,Beauty,1759,790.33
57,Beauty Item 07,Beauty,1059,504.51
58,Beauty Item 08,Beauty,329,162.7
59,Beauty Item 09,Beauty,769,315.18
60,Beauty Item 10,Beauty,679,332.81
61,Beauty Item 11,Beauty,1759,777.14
62,Beauty Item 12,Beauty,109,48.49
63,Beauty Item 13,Beauty,339,154.79
64,Beauty Item 14,Beauty,409,199.08
65,Beauty Item 15,Beauty,119,54.24
66,Beauty Item 16,Beauty,399,187.76
67,Beauty Item 17,Beauty,229,98.5
68,Beauty Item 18,Beauty,859,377.8
69,Beauty Item 19,Beauty,659,308.66
70,Beauty Item 20,Beauty,1079,488.72
71,Fashion Item 01,Fashion,1049,547.58
72,Fashion Item 02,Fashion,2639,1259.73
73,Fashion Item 03,Fashion,399,205.13
74,Fashion Item 04,Fashion,569,304.82
75,Fashion Item 05,Fashion,2779,1258.5
76,Fashion Item 06,Fashion,999,497.39
77,Fashion Item 07,Fashion,259,133.68
78,Fashion Item 08,Fashion,2029,932.79
79,Fashion Item 09,Fashion,919,435.27
80,Fashion Item 10,Fashion,669,333.83
81,Fashion Item 11,Fashion,2109,1050.33
82,Fashion Item 12,Fashion,1249,595.03
83,Fashion Item 13,Fashion,449,222.88
84,Fashion Item 14,Fashion,219,103.74
85,Fashion Item 15,Fashion,1849,917.53
86,Fashion Item 16,Fashion,249,126.22
87,Fashion Item 17,Fashion,219,105.3
88,Fashion Item 18,Fashion,509,270.05
89,Fashion Item 19,Fashion,949,448.19
90,Fashion Item 20,Fashion,1329,654.0
91,Fashion Item 21,Fashion,1129,523.22
92,Fashion Item 22,Fashion,219,112.09
93,Fashion Item 23,Fashion,849,415.76
94,Fashion Item 24,Fashion,889,417.62
95,Fashion Item 25,Fashion,1949,883.06
96,Sports Item 01,Sports,2909,1639.93
97,Sports Item 02,Sports,1049,611.48
98,Sports Item 03,Sports,2369,1552.83
99,Sports Item 04,Sports,769,467.62
100,Sports Item 05,Sports,859,488.82
101,Sports Item 06,Sports,3679,2082.27
102,Sports Item 07,Sports,3799,2458.12
103,Sports Item 08,Sports,2229,1390.98
104,Sports Item 09,Sports,379,230.74
105,Sports Item 10,Sports,4109,2656.71
106,Sports Item 11,Sports,419,246.48
107,Sports Item 12,Sports,429,276.32
108,Sports Item 13,Sports,909,557.83
109,Sports Item 14,Sports,3939,2585.08
110,Sports Item 15,Sports,3309,2112.83
111,Books Item 01,Books,479,357.88
112,Books Item 02,Books,139,99.22
113,Books Item 03,Books,559,354.44
114,Books Item 04,Books,879,663.65
115,Books Item 05,Books,719,514.91
116,Books Item 06,Books,259,194.36
117,Books Item 07,Books,799,506.32
118,Books Item 08,Books,499,383.79
119,Books Item 09,Books,379,244.42
120,Books Item 10,Books,639,410.67
